speeker,date,title,sen,word
Barack Obama,2004/07/28,Keynote Address at the 2004 Democratic National Convention,21.61904761904762,4.222026431718062
Barack Obama,2007/02/11,"Remarks Announcing Candidacy for President in Springfield, Illinois",20.082089552238806,4.326644370122631
Barack Obama,2007/03/03,Remarks at the AIPAC Policy Forum in Chicago,17.06145251396648,4.399476096922069
Barack Obama,2007/03/05,"Remarks at the Selma Voting Rights March Commemoration in Selma, Alabama",20.267857142857142,4.212114537444934
Barack Obama,2007/04/24,Remarks to the Chicago Council on Global Affairs,22.49397590361446,4.6418496697018385
Barack Obama,2007/05/03,Remarks to the California State Democratic Convention in San Diego,20.932835820895523,4.146524064171123
Barack Obama,2007/05/06,"Remarks to the National Conference of Black Mayors in Baton Rouge, Louisiana",19.31877729257642,4.356012658227848
Barack Obama,2007/05/08,Remarks to the Detroit Economic Club,23.05732484076433,4.689779005524862
Barack Obama,2007/05/20,Remarks at Southern New Hampshire University Commencement,19.963768115942027,4.208711433756806
Barack Obama,2007/05/30,Remarks on Health Care at the University of Iowa,23.48148148148148,4.512618296529968
Barack Obama,2007/06/06,"Remarks to the Hampton University Annual Ministers' Conference in Hampton, Virginia",16.8,4.160714285714286
Barack Obama,2007/06/16,"Remarks in Spartanburg, South Carolina",25.294117647058822,4.42703488372093
Barack Obama,2007/06/20,"Remarks in Washington, DC at Take Back America 2007",20.80128205128205,4.107550077041602
Barack Obama,2007/06/23,"Remarks in Manchester, New Hampshire: ""Taking Our Government Back""",23.321678321678323,4.456371814092954
Barack Obama,2007/06/24,"Remarks in Hartford, Connecticut: ""A Politics of Conscience""",20.106508875739646,4.273396115361978
Barack Obama,2007/07/06,Remarks to the National Education Association Annual Meeting in Philadelphia,21.272727272727273,4.413752913752914
Barack Obama,2007/07/19,"Remarks in Washington, DC: ""Changing the Odds for Urban America""",21.8,4.376686454398273
Barack Obama,2007/07/23,Remarks to the National Council of La Raza in Miami,22.349593495934958,4.296471444161513
Barack Obama,2007/07/27,"Remarks to the College Democrats of America in Columbia, South Carolina",21.074626865671643,4.204674220963173
Barack Obama,2007/08/02,"Remarks in Washington, DC: ""The War We Need to Win""",17.726993865030675,4.4433292957259045
Barack Obama,2007/08/22,"Remarks in Kansas City, Missouri: ""A Sacred Trust""",16.688995215311003,4.314220183486238
Barack Obama,2007/09/04,"Remarks at a Labor Day Rally in Manchester, New Hampshire",19.117948717948718,4.1751609442060085
Barack Obama,2007/09/13,"Remarks in Clinton, Iowa: ""Turning the Page in Iraq""",15.85239852398524,4.226955307262569
Barack Obama,2007/09/18,"Remarks in New York City: ""Our Common Stake in America's Prosperity""",23.18877551020408,4.515071507150715
Barack Obama,2007/09/19,"Remarks in Washington, DC: ""Tax Fairness for the Middle Class""",19.2,4.370710784313726
Barack Obama,2007/09/29,"Remarks at the Howard University Convocation in Washington, DC",19.564705882352943,4.210763680096211
Barack Obama,2007/10/03,"Remarks in Chicago: ""A New Beginning""",17.83203125,4.219496166484118
Barack Obama,2007/10/09,"Remarks in Portsmouth, New Hampshire: ""Real Leadership for a Clean Energy Future""",21.26086956521739,4.333333333333333
