speeker,date,title,Average sentence length,Average word lengt,Diffaculty Index,Percentage of 'We'
McCain,2006-11-16,Speech to GOPAC,19.870646766169155,4.569103655483225,1.3930497303774716,2.453680520781172
McCain,2006-11-16,Speech to the Federalist Society,24.185185185185187,4.629402756508423,1.2928370786516854,1.562021439509954
McCain,2007-01-29,Remarks at the Dedication of the Center for the Intrepid,24.333333333333332,4.223744292237443,1.1400651465798046,1.82648401826484
McCain,2007-02-02,Remarks Before the U.S. Senate Committee on Homeland Security and Governmental Affairs,23.163265306122447,5.014096916299559,1.4046610169491525,1.3215859030837005
McCain,2007-02-02,Remarks in Support of the Federal Funding Accountability and Transparency Act,19.489795918367346,4.544502617801047,1.3464373464373465,1.256544502617801
McCain,2007-03-14,"Remarks at the IAFF's Presidential Forum in Washington, DC",20.708955223880597,4.5174774774774775,1.3516949152542372,1.9459459459459458
McCain,2007-03-27,Remarks on the Floor of the United States Senate,18.56353591160221,4.742559523809524,1.582628747117602,1.2202380952380953
McCain,2007-04-11,Virginia,23.123655913978496,4.583817716810044,1.3185983827493262,1.3950244129272262
McCain,2007-04-16,"Tennessee
",19.473684210526315,4.54972972972973,1.3657289002557544,1.5405405405405406
McCain,2007-04-23,Speech on Energy Policy,20.486486486486488,4.7678100263852246,1.509933774834437,1.0554089709762533
McCain,2007-04-25,"Remarks Announcing Candidacy for President in Portsmouth, New Hampshire",21.102564102564102,4.518023491292021,1.3096351730589335,1.6605913325232888
McCain,2007-05-01,Address at the Hoover Institution on U.S. Foreign Policy,21.17763157894737,4.7141969555762655,1.434947049924357,2.112457284871078
McCain,2007-05-21,Oklahoma,23.544,4.815154604145429,1.3375694996028593,0.9853890587835541
McCain,2007-06-18,Commencement Address at the U.S. Merchant Marine Academy,20.391304347826086,4.440298507462686,1.380710659898477,0.10660980810234541
McCain,2007-06-20,Florida,19.68027210884354,4.888005530591082,1.4475465313028766,1.2098167991704112
McCain,2007-07-13,Address to the Concord Chamber of Commerce,20.940298507462686,4.712401995723449,1.4231433506044906,2.10263720598717
McCain,2007-07-18,Remarks on the Senate Floor About the Levin-Reed Amendment to the National Defense Authorization Act of FY 2008,26.28813559322034,4.286911669890393,1.3149253731343284,1.8697614442295292
McCain,2007-07-18,"Address to the Christians United for Israel in Washington, DC",19.21590909090909,4.718509757539917,1.5163690476190477,0.827912477823773
McCain,2007-08-06,Address to the Cedar Rapids Rotary Club,23.441176470588236,4.968632371392722,1.2577903682719547,0.2509410288582183
McCain,2007-08-20,Kansas,17.102564102564102,4.124437781109445,1.332167832167832,1.199400299850075
McCain,2007-08-27,"Address to the National Guard Association Of The United States in San Juan, Puerto Rico",24.232758620689655,4.599075062255425,1.4149484536082475,1.209533973674849
McCain,2007-09-08,California,22.68041237113402,4.385454545454546,1.4608501118568233,1.8181818181818181
McCain,2007-09-21,Address to the National Rifle Association,19.934782608695652,4.318974918211559,1.3040201005025125,1.1995637949836424
McCain,2007-09-22,Address to the Mackinac Republican Leadership Conference,22.442307692307693,4.405312767780634,1.4803400637619553,1.7566409597257926
McCain,2007-09-27,"Address to the Hudson Institute in Washington, DC",24.63888888888889,4.7576099210823,1.3929856115107915,1.9165727170236753
McCain,2007-09-28,Florida,18.625954198473284,4.715573770491804,1.4771573604060915,1.5163934426229508
McCain,2007-10-09,"Michigan
",15.772727272727273,4.585014409221902,1.532846715328467,0.5763688760806917
McCain,2007-10-11,Iowa,21.374045801526716,4.806071428571428,1.460456942003515,1.25
McCain,2007-10-19,"Address to the Values Voter Summit in Washington, DC",21.333333333333332,4.389802631578948,1.3565891472868217,1.644736842105263
McCain,2007-10-20,Florida,20.16296296296296,4.440852314474651,1.38353765323993,1.653196179279941
McCain,2007-11-05,Iowa,20.15,4.640694789081886,1.3705882352941177,0.49627791563275436
McCain,2007-11-19,"Address at Franklin Pierce University in Rindge, New Hampshire",19.601769911504423,4.297968397291196,1.343915343915344,1.1286681715575622
McCain,2007-12-10,"Remarks at the Center for Hydrogen Research in Aiken County, South Carolina",22.51851851851852,4.7055921052631575,1.4918032786885247,0.8223684210526315
McCain,2008-01-03,Iowa,13.705882352941176,3.9527896995708156,1.3775510204081634,4.291845493562231
