date,McCain,Obama
11/3/2008,44.5,52.1
11/3/2008,43,52
11/3/2008,47,52
11/3/2008,48,50
11/3/2008,44,52
11/3/2008,46,52
11/3/2008,43,54
11/2/2008,43,51
11/2/2008,43,50
11/2/2008,45,50
11/2/2008,42,51
11/2/2008,44,55
11/2/2008,44,53
11/2/2008,46,53
11/2/2008,44,50
11/1/2008,46,53
11/1/2008,43,52
11/1/2008,43,51
11/1/2008,46,52
10/29/2008,43,50
10/29/2008,44,47
10/29/2008,41,52
10/27/2008,45,50
10/26/2008,45,50
10/26/2008,42,50
10/26/2008,45,50
10/26/2008,43,53
10/26/2008,46,51
10/26/2008,38,53
10/26/2008,45,52
10/26/2008,44,47
10/26/2008,46,49
10/23/2008,41,53
10/22/2008,45,52
10/22/2008,46,50
10/22/2008,45,51
10/22/2008,43,48
10/22/2008,40,52
10/22/2008,43,54
10/22/2008,39,52
10/22/2008,44,45
10/22/2008,45,49
10/21/2008,40,49
10/20/2008,42,52
10/20/2008,42,50
10/20/2008,43,44
10/19/2008,46,51
10/19/2008,39,53
10/19/2008,46,50
10/19/2008,45,49
10/19/2008,45,50
10/18/2008,46,49
10/18/2008,44,51
10/18/2008,45,48
10/18/2008,41,48
10/18/2008,45,51
10/18/2008,42,47
10/13/2008,45,50
10/13/2008,42,48
10/13/2008,43,49
10/13/2008,45,51
10/13/2008,43,53
10/13/2008,41,50
10/13/2008,39,53
10/13/2008,39,48
10/13/2008,40,53
10/13/2008,42,45
10/12/2008,45,52
10/12/2008,46,50
10/12/2008,42,49
10/12/2008,42,51
10/11/2008,43,53
10/9/2008,39,46
10/9/2008,41,52
10/9/2008,45,50
10/9/2008,41,51
10/9/2008,41,48
10/9/2008,43,51
10/9/2008,43,48
10/6/2008,44,50
10/6/2008,40,47
10/5/2008,43,49
10/5/2008,45,53
10/5/2008,45,48
10/5/2008,46,49
9/30/2008,44,49
9/30/2008,41,48
9/30/2008,41,50
9/29/2008,46,50
9/29/2008,43,49
9/29/2008,43,50
9/29/2008,45,48
9/26/2008,44,49
9/26/2008,44,50
9/26/2008,43,48
9/25/2008,48,46
9/24/2008,43,48
9/23/2008,39,45
9/23/2008,44,49
9/22/2008,43,52
9/22/2008,46,48
9/22/2008,45,49
9/22/2008,43,44
9/21/2008,47,51
9/21/2008,47,45
9/18/2008,47,47
9/17/2008,44,48
9/17/2008,48,48
9/17/2008,42,46
9/16/2008,44,49
9/16/2008,45,49
9/14/2008,46,46
9/13/2008,45,47
9/11/2008,46,46
9/11/2008,48,44
9/10/2008,48,44
9/9/2008,45,42
9/9/2008,45,45
9/9/2008,47,48
9/9/2008,48,43
9/8/2008,45,46
9/7/2008,54,44
9/7/2008,48,48
9/7/2008,46,44
9/7/2008,49,47
9/7/2008,40,45
9/3/2008,42,42
9/1/2008,42,50
9/1/2008,45,51
8/31/2008,43,50
8/31/2008,48,49
8/31/2008,40,48
8/31/2008,39,48
8/25/2008,46,44
8/25/2008,46,46
8/24/2008,47,47
8/24/2008,40,44
8/23/2008,45,48
8/22/2008,45,49
8/20/2008,39,42
8/19/2008,42,45
8/18/2008,43,45
8/18/2008,42,45
8/17/2008,43,46
8/17/2008,46,47
8/17/2008,42,47
8/16/2008,46,41
8/14/2008,47,46
8/10/2008,43,46
8/9/2008,38,43
8/5/2008,39,45
8/4/2008,42,48
8/4/2008,41,46
8/3/2008,47,46
8/3/2008,43,46
7/29/2008,44,51
7/27/2008,49,45
7/27/2008,42,47
7/24/2008,45,50
7/23/2008,40,41
7/21/2008,41,47
7/15/2008,44,47
7/15/2008,45,48
7/14/2008,39,45
7/13/2008,46,49
7/13/2008,40,47
7/13/2008,41,50
7/11/2008,37,40
7/10/2008,41,44
7/2/2008,43,47
7/1/2008,44,49
6/29/2008,38,46
6/29/2008,45,50
6/29/2008,40,48
6/25/2008,45,49
6/25/2008,43,47
6/23/2008,37,49
6/22/2008,36,42
6/19/2008,36,51
6/19/2008,44,50
6/18/2008,41,45
6/15/2008,40,44
6/15/2008,45,49
6/14/2008,42,47
6/11/2008,43,50
6/10/2008,44,49
6/9/2008,41,48
6/9/2008,41,47
6/8/2008,42,44
6/8/2008,40,43
6/5/2008,46,49
6/3/2008,42,48
6/1/2008,44,47
5/31/2008,43,44
5/25/2008,44,47
5/22/2008,46,46
5/18/2008,40,48
5/18/2008,37,48
5/16/2008,45,44
5/16/2008,47,44
5/15/2008,46,48
5/14/2008,47,49
5/12/2008,40,47
5/11/2008,44,51
5/8/2008,43,48
5/8/2008,40,46
5/4/2008,42,46
5/3/2008,40,51
5/3/2008,48,47
5/3/2008,43,47
4/30/2008,45,49
4/29/2008,46,43
4/29/2008,45,45
4/28/2008,43,46
4/27/2008,46,46
4/27/2008,44,46
4/27/2008,44,50
4/25/2008,44,47
4/20/2008,44,47
4/20/2008,44,45
4/17/2008,44,48
4/13/2008,44,49
4/13/2008,45,45
4/13/2008,49,42
4/9/2008,45,45
4/6/2008,45,45
4/2/2008,42,47
3/31/2008,46,44
3/30/2008,47,42
3/25/2008,42,44
3/22/2008,43,49
3/19/2008,44,43
3/18/2008,43,48
3/16/2008,46,47
3/15/2008,47,49
3/14/2008,46,40
3/10/2008,44,47
3/9/2008,45,43
3/6/2008,45,46
3/2/2008,38,47
3/2/2008,42,53
2/25/2008,44,42
2/24/2008,41,51
2/24/2008,48,47
2/24/2008,38,50
2/24/2008,43,50
2/20/2008,43,47
2/17/2008,40,48
2/16/2008,40,47
2/10/2008,46,50
2/10/2008,42,48
2/4/2008,41,48
2/3/2008,44,52
2/2/2008,43,45
2/1/2008,46,49
1/31/2008,43,44
1/31/2008,48,47
1/27/2008,47,41
1/22/2008,42,42
1/22/2008,42,41
1/17/2008,41,46
1/13/2008,50,45
1/12/2008,39,41
1/10/2008,48,49
1/6/2008,46,43
12/19/2008,44,40
12/14/2008,43,47
12/9/2008,48,48
11/27/2008,44,44
11/17/2008,43,46
11/14/2008,44,47
10/29/2008,43,43
10/22/2008,36,44
9/26/2008,38,40
9/20/2008,41,46
8/13/2008,39,43
8/2/2008,40,46
7/18/2008,37,47
7/17/2008,38,47
7/14/2008,42,45
6/24/2008,44,48
6/21/2008,41,51
6/14/2008,38,46
6/14/2008,46,48
6/11/2008,41,43
6/10/2008,35,47
5/20/2008,43,46
5/20/2008,39,42
5/3/2008,39,52
5/1/2008,46,39
5/1/2008,42,42
4/30/2008,37,48
4/23/2008,39,45
4/10/2008,42,48
4/9/2008,40,48
4/9/2008,42,47
3/26/2008,45,43
3/15/2008,44,44
3/12/2008,41,44
3/5/2008,46,42
3/1/2008,43,45
2/26/2008,42,46
