date,Huckabee,McCain
2/24/2008,22,63
2/22/2008,27,53
2/21/2008,23,61
2/20/2008,23,61
2/22/2008,20,65
2/19/2008,34,51
2/18/2008,22,62
2/15/2008,26,54
2/14/2008,25,53
2/13/2008,32,47
2/12/2008,28,53
2/9/2008,31,54
2/9/2008,28,52
2/7/2008,30,44
2/8/2008,27,53
2/6/2008,21,53
2/6/2008,32,51
2/3/2008,21,41
2/1/2008,18,44
1/31/2008,18,39
1/31/2008,18,43
1/30/2008,12,46
1/30/2008,18,42
1/30/2008,20,42
1/30/2008,16,48
1/30/2008,19,48
1/28/2008,17,37
1/25/2008,18,29
1/22/2008,20,31
1/20/2008,20,28
1/18/2008,18,22
1/15/2008,16,22
1/14/2008,20,29
1/10/2008,19,33
1/9/2008,20,29
1/10/2008,17,32
1/9/2008,20,28
1/9/2008,18,33
1/10/2008,23,28
1/9/2008,21,34
1/4/2008,25,19
12/19/2007,17,22
12/14/2007,22,14
12/18/2007,19,19
12/14/2007,17,14
12/7/2007,21,11
12/14/2007,16,14
12/12/2007,22,12
12/10/2007,17,10
12/9/2007,24,15
12/9/2007,21,18
12/6/2007,19,12
12/6/2007,22,13
12/5/2007,21,7
12/3/2007,18,13
11/30/2007,17,11
11/30/2007,16,15
11/7/2007,11,17
11/14/2007,11,9
11/13/2007,8,17
11/11/2007,10,13
11/9/2007,6,12
11/2/2007,9,13
11/8/2007,8,12
11/5/2007,10,13
11/1/2007,8,16
11/2/2007,6,18
11/2/2007,10,16
10/31/2007,7,14
10/29/2007,5,17
10/29/2007,9,19
10/23/2007,6,13
10/23/2007,5,12
10/17/2007,8,18
10/19/2007,7,13
10/18/2007,3,10
10/4/2007,7,12
10/12/2007,5,17
10/12/2007,6,14
10/10/2007,4,8
10/9/2007,6,14
10/9/2007,5,12
10/4/2007,7,16
10/4/2007,6,13
10/1/2007,7,12
9/27/2007,7,12
9/28/2007,4,15
9/21/2007,7,17
9/21/2007,3,12
9/13/2007,4,15
9/14/2007,3,18
9/12/2007,4,15
9/13/2007,3,13
9/6/2007,3,11
9/10/2007,5,15
9/9/2007,4,14
9/11/2007,1,15
9/7/2007,4,14
9/7/2007,4,14
9/7/2007,4,14
9/4/2007,5,18
8/22/2007,4,12
8/21/2007,3,7
8/13/2007,4,11
8/7/2007,2,11
8/9/2007,3,13
8/3/2007,2,14
8/6/2007,2,14
8/2/2007,1,16
8/3/2007,2,14
8/1/2007,2,13
7/27/2007,1,17
7/25/2007,1,16
7/19/2007,0,-
7/18/2007,2,16
7/17/2007,3,16
7/12/2007,2,16
7/12/2007,5,9
7/6/2007,1,17
7/9/2007,1,14
7/9/2007,3,15
7/6/2007,2,16
6/26/2007,3,17
6/22/2007,2,18
6/21/2007,2,20
6/20/2007,4,15
6/15/2007,2,16
6/11/2007,3,18
6/9/2007,1,20
6/8/2007,3,14
6/5/2007,2,15
6/1/2007,2,18
6/7/2007,3,12
6/4/2007,2,19
6/5/2007,3,15
6/1/2007,2,19
5/29/2007,2,19
5/28/2007,1,17
5/30/2007,4,16
5/16/2007,2,17
5/17/2007,4,13
5/15/2007,1,17
5/11/2007,2,24
5/10/2007,1,23
5/9/2007,1,24
5/3/2007,1,18
5/4/2007,3,23
5/4/2007,1,20
4/25/2007,2,19
4/26/2007,2,18
4/27/2007,2,21
4/20/2007,2,22
4/18/2007,3,23
4/17/2007,1,16
4/3/2007,1,18
4/12/2007,1,21
4/13/2007,2,22
4/9/2007,1,23
4/10/2007,0,24
4/5/2007,3,12
4/2/2007,1,16
3/29/2007,2,17
3/27/2007,3,20
3/23/2007,1,22
3/22/2007,1,13
3/20/2007,2,23
3/21/2007,2,19
3/21/2007,1,23
3/23/2007,1,22
3/9/2007,2,20
3/9/2007,1,18
3/5/2007,3,22
3/2/2007,1,30
3/2/2007,2,24
3/2/2007,0,20
2/27/2007,4,19
2/23/2007,1,24
2/22/2007,2,21
2/22/2007,0,20
2/13/2007,2,18
2/15/2007,1,23
2/12/2007,1,21
2/9/2007,2,24
1/30/2007,0,22
1/22/2007,1,30
1/19/2007,1,26
